Istanza,Nodi,Costo_AMPL,Costo_Euristica,Gap(%),Tempo_AMPL(s),Tempo_Euristica(s),Archi_AMPL,Peso_AMPL(MB),Peso_Euristica(MB)
berlin52.tsp,52,39698.13999999999,39690.16000000001,0.020101697459834075,1067.5595083236694,0.1315593719482422,52,0.05682182312011719,0.0206298828125
eil101.tsp,101,4967.500000000002,4967.310000000003,0.003824861600376251,484.2204749584198,0.8031229972839355,101,0.20895671844482422,0.07782745361328125
kroA100.tsp,100,253178.21000000002,253226.84000000005,-0.01920781413220109,2401.7423861026764,1.0718812942504883,100,0.22145748138427734,0.0762939453125
pr76.tsp,76,815405.93,815641.8699999998,-0.028935281351180668,2401.3318083286285,0.38110780715942383,76,0.12943267822265625,0.0440673828125
